event_id,device_id,timestamp,longitude,latitude
978,2692075908067099101,2016-05-07T00:26:48.000-06:00,0.0,0.0
1105,4278305343584179554,2016-05-01T01:50:42.000-06:00,126.79,42.38
3499,-7655873196685547711,2016-05-07T05:50:01.000-06:00,0.0,0.0
4302,-8783851385933673163,2016-05-06T06:00:30.000-06:00,118.81,32.11
4534,125284895937135417,2016-05-07T06:41:48.000-06:00,112.96,30.45
5232,-914879838163722787,2016-05-03T07:22:01.000-06:00,117.14,34.8
7194,9219164468944552013,2016-05-03T09:18:22.000-06:00,120.17,30.27
7247,5132594033699421887,2016-05-03T09:29:12.000-06:00,0.0,0.0
7624,4549750073184785510,2016-05-05T09:13:38.000-06:00,121.61,31.14
9568,1835470893908525178,2016-05-06T10:41:20.000-06:00,113.7,23.06
9895,8680066598920738422,2016-05-07T09:59:40.000-06:00,0.0,0.0
10669,5806899496539264495,2016-05-04T11:26:23.000-06:00,104.09,30.71
12263,-3907798047502045531,2016-05-05T12:02:58.000-06:00,121.44,30.99
13215,4957364479695868421,2016-05-03T13:20:21.000-06:00,1.0,1.0
13653,3650096660252678277,2016-05-04T13:04:02.000-06:00,113.25,23.14
17015,2087974144068173046,2016-05-07T15:21:22.000-06:00,0.0,0.0
17702,4780271720899407964,2016-05-04T16:10:37.000-06:00,113.95,22.54
17956,-9098095498910626527,2016-05-05T16:33:07.000-06:00,0.0,0.0
19326,-1945035485761929247,2016-05-05T17:20:32.000-06:00,0.0,0.0
19486,-5105332332397066846,2016-05-06T17:38:53.000-06:00,108.33,22.87
19585,277072347016000258,2016-05-06T17:35:20.000-06:00,110.4,24.5
19634,1186608308763918427,2016-05-07T17:10:33.000-06:00,87.63,43.8
20152,776924876805421343,2016-05-02T18:30:35.000-06:00,121.73,32.06
21863,-4329143624789997256,2016-05-03T19:33:08.000-06:00,114.05,22.65
23068,1308794034383423224,2016-05-01T20:05:18.000-06:00,116.59,35.43
24376,5380983363228586805,2016-05-07T20:52:42.000-06:00,0.0,0.0
24500,3915082290673137129,2016-05-01T21:20:49.000-06:00,116.39,39.91
26765,-6768391833935106233,2016-05-04T22:34:23.000-06:00,114.43,23.09
28284,1528562242993162308,2016-05-03T23:13:09.000-06:00,0.0,0.0
29205,1416579523092836544,2016-05-02T00:29:21.000-06:00,0.0,0.0
29627,-7006851447434434623,2016-05-04T00:56:11.000-06:00,117.32,26.03
30126,-3145524369079027883,2016-05-07T00:13:44.000-06:00,0.0,0.0
31791,1073171176287896832,2016-05-01T03:15:04.000-06:00,0.0,0.0
32347,-4041079632206904172,2016-05-03T04:45:54.000-06:00,114.49,36.58
35498,-3473612079777785758,2016-05-05T06:58:06.000-06:00,116.71,39.54
35585,7611575855132899377,2016-05-06T07:41:30.000-06:00,120.65,32.32
36974,-8733372251341949641,2016-05-05T08:35:27.000-06:00,0.0,0.0
37713,-6428673715418141046,2016-05-07T08:16:30.000-06:00,84.91,44.33
38869,-4911468390348580527,2016-05-06T09:03:14.000-06:00,117.36,39.15
39928,-1487610265219387071,2016-05-03T10:12:13.000-06:00,121.45,31.2
40691,7430197410609568435,2016-05-05T10:28:21.000-06:00,116.48,39.76
41954,5083019926611946481,2016-05-04T11:19:59.000-06:00,0.0,0.0
43338,-6222046863202877903,2016-05-02T12:28:23.000-06:00,120.61,31.38
43743,7135632829085849775,2016-05-04T12:14:18.000-06:00,0.0,0.0
43848,3939898031144571642,2016-05-04T12:29:53.000-06:00,113.04,28.2
43941,-3290182285250081266,2016-05-04T12:16:46.000-06:00,0.0,0.0
44076,-8241952332260662574,2016-05-05T12:37:26.000-06:00,116.42,37.27
44388,2634148490662474075,2016-05-06T12:52:32.000-06:00,0.0,0.0
45450,-6791716021317376871,2016-05-03T13:41:27.000-06:00,114.6,38.03
45547,-6741628415339003041,2016-05-04T13:00:46.000-06:00,112.73,37.72
46382,-4156520368549772455,2016-05-07T13:00:55.000-06:00,116.28,32.34
47989,3477499714935352366,2016-05-07T14:25:42.000-06:00,116.37,28.01
48709,398342807525792446,2016-05-04T15:19:57.000-06:00,0.0,0.0
49688,-6266418166153302895,2016-05-02T16:52:38.000-06:00,0.0,0.0
50158,7326256944357345813,2016-05-04T16:01:01.000-06:00,112.44,39.37
50557,-6283059874177306997,2016-05-05T16:33:14.000-06:00,117.61,39.84
51083,-3823793509014648640,2016-05-07T16:43:34.000-06:00,0.0,0.0
52861,3601443966776151411,2016-05-01T18:25:21.000-06:00,0.0,0.0
53545,709825084774496515,2016-05-03T18:09:07.000-06:00,118.74,32.03
55206,-7044502680526381781,2016-05-03T19:39:39.000-06:00,106.66,28.99
56416,3915082290673137129,2016-05-01T20:25:18.000-06:00,116.39,39.91
57494,6527673677883322043,2016-05-05T20:13:23.000-06:00,103.71,30.0
58139,7038277467111542248,2016-05-07T20:12:06.000-06:00,120.45,30.21
58535,4208515173314134816,2016-05-02T21:18:44.000-06:00,114.44,37.99
59462,-2706431925233998498,2016-05-05T21:26:17.000-06:00,0.0,0.0
59704,-4496984528158017,2016-05-06T21:25:16.000-06:00,121.34,31.15
60607,225700688050283244,2016-05-02T22:18:22.000-06:00,0.0,0.0
60782,5825239880071084373,2016-05-03T22:29:50.000-06:00,113.78,22.78
65436,7752298389957086192,2016-05-02T00:01:22.000-06:00,0.0,0.0
67064,1779631023439405334,2016-05-01T02:08:27.000-06:00,114.26,30.57
68069,8903602826390745112,2016-05-02T04:17:05.000-06:00,115.47,38.85
68624,8955594110167688067,2016-05-04T05:33:01.000-06:00,121.42,31.16
69360,7716187835123442279,2016-05-02T05:13:07.000-06:00,1.0,1.0
71878,7786723750296285573,2016-05-03T04:41:00.000-06:00,104.0,30.0
72234,-8901164389292772713,2016-05-02T05:37:10.000-06:00,106.62,29.7
76013,621108931104630232,2016-05-04T05:58:01.000-06:00,120.43,36.08
76353,756685555046206939,2016-05-02T09:25:04.000-06:00,0.0,0.0
78106,863542577368265826,2016-05-05T10:49:31.000-06:00,117.22,39.12
79232,2386491232642333556,2016-05-04T11:46:00.000-06:00,111.79,30.83
80264,-3322998311626879238,2016-05-07T06:45:49.000-06:00,0.0,0.0
81619,6924987369400661666,2016-05-05T06:51:02.000-06:00,114.18,36.67
81721,-4916481568882984324,2016-05-04T12:54:27.000-06:00,118.77,32.05
84160,8975484450925146203,2016-05-06T07:27:09.000-06:00,0.0,0.0
85388,-2507229646677474822,2016-05-05T13:19:20.000-06:00,130.62,45.78
85663,-2813093011280780528,2016-05-06T13:49:22.000-06:00,118.71,32.16
86187,-3968170355357929144,2016-05-07T13:46:14.000-06:00,113.78,23.26
86872,-1102729835191381382,2016-05-07T08:53:56.000-06:00,0.0,0.0
88604,3902459389356710143,2016-05-06T09:07:01.000-06:00,0.0,0.0
88888,-2598538165481001268,2016-05-07T13:57:18.000-06:00,116.55,39.06
89077,1895301651664066260,2016-05-01T15:21:16.000-06:00,119.37,32.38
89859,-6910034434543399972,2016-05-02T10:14:05.000-06:00,113.33,22.52
90447,4782582047729166353,2016-05-04T15:23:47.000-06:00,114.47,38.02
91071,8562452166676488728,2016-05-05T10:46:38.000-06:00,123.47,41.82
91117,-8478765827760456683,2016-05-05T09:57:35.000-06:00,123.18,41.25
92205,1779631023439405334,2016-05-06T10:48:32.000-06:00,114.26,30.57
98657,3399352380266123600,2016-05-01T13:02:49.000-06:00,110.42,33.0
100616,-8612985690416733489,2016-05-07T13:37:19.000-06:00,121.38,31.25
101651,8579405348803177482,2016-05-03T19:09:13.000-06:00,107.9,34.38
103010,-1057815704266845538,2016-05-05T19:58:02.000-06:00,113.19,22.0
103136,-805737552118863552,2016-05-06T19:39:48.000-06:00,120.55,32.4
107613,-8793764609497122615,2016-05-03T17:44:56.000-06:00,123.04,41.13
107696,225848875514674968,2016-05-03T17:39:52.000-06:00,114.67,36.44
108562,8411165336765859406,2016-05-06T17:27:56.000-06:00,0.0,0.0
108627,525152147446011505,2016-05-06T17:51:31.000-06:00,0.0,0.0
108658,9166587499118908464,2016-05-06T17:23:37.000-06:00,113.85,22.6
109878,6091921849695313384,2016-05-06T21:13:58.000-06:00,115.97,36.45
110614,7782943363889386599,2016-05-01T22:02:03.000-06:00,120.15,33.55
112139,1186608308763918427,2016-05-04T22:36:09.000-06:00,112.86,26.42
112481,8317632197015951465,2016-05-05T22:12:44.000-06:00,0.0,0.0
112608,3950455813220551965,2016-05-05T22:33:52.000-06:00,120.88,30.95
112668,-5006672194208261423,2016-05-05T22:21:10.000-06:00,0.0,0.0
113743,4484456606763501813,2016-05-07T22:17:07.000-06:00,119.83,34.0
115579,-6190615731075717748,2016-05-07T23:55:05.000-06:00,113.41,22.49
115711,-9002686544390888176,2016-05-05T20:14:50.000-06:00,0.0,0.0
116038,4432720261839833145,2016-05-06T20:06:02.000-06:00,0.0,0.0
117948,195742700046265842,2016-05-02T22:41:00.000-06:00,118.74,32.05
118650,-5592284562412658617,2016-05-05T22:02:29.000-06:00,126.51,43.21
119553,-8634569409369128113,2016-05-05T23:24:33.000-06:00,0.0,0.0
119623,4328295921908526008,2016-05-06T23:36:24.000-06:00,106.67,26.46
120860,-7907822632036951004,2016-05-07T00:32:44.000-06:00,113.78,34.78
122542,-3663902403816264245,2016-05-06T03:57:22.000-06:00,0.0,0.0
124419,3954173554353114291,2016-05-02T07:21:54.000-06:00,0.0,0.0
125063,2957948755409153401,2016-05-06T07:34:51.000-06:00,114.39,22.76
125686,8820350727188217885,2016-05-03T07:57:32.000-06:00,109.49,18.26
126104,-1704288136425708255,2016-05-06T08:51:53.000-06:00,113.94,22.55
126280,-2061190961811702596,2016-05-07T08:52:23.000-06:00,1.0,1.0
127120,489270407523089152,2016-05-04T09:46:34.000-06:00,121.23,28.72
127938,-2140050339851368173,2016-05-02T10:44:43.000-06:00,122.12,40.26
130203,8089915175289722352,2016-05-06T11:10:25.000-06:00,116.95,36.61
130278,-8061322940279453571,2016-05-06T11:15:11.000-06:00,0.0,0.0
131315,-7895993856537121386,2016-05-04T12:38:38.000-06:00,116.49,39.95
133454,-1192131410415383506,2016-05-03T13:53:52.000-06:00,0.0,0.0
133660,-8751744814691852245,2016-05-04T14:35:50.000-06:00,112.83,27.97
133892,3304264946378352356,2016-05-05T14:03:29.000-06:00,103.65,36.64
137054,1375360218330611972,2016-05-02T17:25:57.000-06:00,102.74,25.05
139854,2530541050459203320,2016-05-05T09:44:43.000-06:00,123.23,41.8
141051,2360763764665150809,2016-05-01T18:56:47.000-06:00,117.81,30.94
141827,-15104153942930389,2016-05-03T19:13:29.000-06:00,114.4,30.7
143837,-3811466859557879589,2016-05-03T11:47:37.000-06:00,120.1,29.31
144258,1116374875677034552,2016-05-04T11:14:26.000-06:00,102.86,25.03
144698,-3313967603707896230,2016-05-05T11:06:18.000-06:00,113.8,23.11
144762,-9148435757671165885,2016-05-05T11:05:51.000-06:00,100.47,38.94
145268,-4314847156767125406,2016-05-07T20:34:09.000-06:00,116.36,39.85
145551,-1516688507910543815,2016-05-01T21:30:08.000-06:00,118.33,34.35
145639,-9130921979368169180,2016-05-01T21:23:54.000-06:00,119.24,26.09
146668,8406024934220631281,2016-05-05T20:55:37.000-06:00,120.3,31.91
146800,-3390748763540756664,2016-05-01T12:32:37.000-06:00,116.3,39.91
146824,4619031481082070777,2016-05-01T12:21:18.000-06:00,114.61,38.21
147043,1977421345312966695,2016-05-06T21:10:34.000-06:00,120.12,29.35
150133,-1800023624954426585,2016-05-06T23:04:13.000-06:00,0.0,0.0
150355,7029667262238249331,2016-05-07T23:05:08.000-06:00,125.31,43.89
150516,-4181501667687585181,2016-05-07T12:43:30.000-06:00,113.24,23.65
150603,635131441080671967,2016-05-07T12:15:06.000-06:00,-180.0,0.0
152430,-3364452617563473997,2016-05-04T14:18:59.000-06:00,116.52,35.4
153047,-924631137507645230,2016-05-07T14:38:48.000-06:00,117.4,40.03
153277,-623459091953114276,2016-05-01T14:56:58.000-06:00,113.34,23.01
154073,-4814793614000680392,2016-05-06T14:56:44.000-06:00,116.63,40.1
154605,6617253823731549665,2016-05-02T16:26:07.000-06:00,108.86,34.23
156335,-536331908872562000,2016-05-07T17:20:15.000-06:00,98.9,39.99
156392,-7021657553921593587,2016-05-01T18:26:56.000-06:00,114.33,23.0
157296,-6232783046446343573,2016-05-06T18:51:29.000-06:00,116.31,40.05
159488,-4591681763045912477,2016-05-06T20:30:40.000-06:00,113.79,22.82
159795,7925762593514743800,2016-05-01T21:30:47.000-06:00,114.09,34.26
160504,-4314688749867464757,2016-05-01T00:13:09.000-06:00,113.03,25.79
161911,-3490584820584748934,2016-05-06T01:05:09.000-06:00,117.92,33.9
162474,1186608308763918427,2016-05-01T02:25:04.000-06:00,108.41,27.05
164652,1109346685550005786,2016-05-07T05:23:54.000-06:00,103.65,30.99
166459,-5710465318351646876,2016-05-04T07:14:11.000-06:00,0.0,0.0
167188,-7087569999755617245,2016-05-04T22:04:06.000-06:00,0.0,0.0
167365,6634179169279558157,2016-05-01T08:54:03.000-06:00,0.0,0.0
168427,495316989876150198,2016-05-06T22:09:06.000-06:00,120.43,31.47
168939,1938095276804607904,2016-05-07T08:11:56.000-06:00,113.03,27.8
169437,8900214160376218539,2016-05-01T09:19:52.000-06:00,0.0,0.0
172182,657702030351911399,2016-05-02T10:28:02.000-06:00,0.0,0.0
172868,4666730836433957461,2016-05-05T10:25:11.000-06:00,114.24,30.53
174461,1019148787921103277,2016-05-07T10:59:41.000-06:00,120.22,29.26
174740,5564237898532952234,2016-05-01T12:16:42.000-06:00,118.29,35.4
175010,-7678607043904141154,2016-05-03T12:42:40.000-06:00,121.31,31.02
175014,-2589228410756122947,2016-05-03T12:54:29.000-06:00,0.0,0.0
