device_id,gender,age,group
11491559839923177,M,29,M29-31
2450350084517153299,F,26,F24-26
6707328039178412823,M,34,M32-38
8686488919160645539,M,37,M32-38
5487968851166251891,F,36,F33-42
4236671290028993261,M,25,M23-26
-2920089512121882742,F,21,F23-
-3927905525213459148,M,41,M39+
74758162773232977,M,20,M22-
-1749090368336092788,F,24,F24-26
3751556080923780612,M,21,M22-
395937639874086192,F,50,F43+
-7936738974721311568,F,21,F23-
8652547644062704081,M,48,M39+
-5365668398628094418,F,34,F33-42
-9058976870986022312,M,41,M39+
4975770075842412927,M,51,M39+
-4198585308778054407,F,28,F27-28
-6843338455486182856,M,20,M22-
6633527966857717003,F,47,F43+
8387916104263047345,F,26,F24-26
-2106902809707234310,F,34,F33-42
-5328818280894949123,F,30,F29-32
-5170075361247382687,F,23,F23-
-3824121182286007210,M,26,M23-26
2383800917943579937,F,29,F29-32
7629751593500692576,M,27,M27-28
6314852804182791230,M,38,M32-38
2559012660850012377,F,30,F29-32
-1314917144979921188,F,38,F33-42
-4314847752104530110,M,35,M32-38
8805735809012332089,F,38,F33-42
3444183843551331733,M,20,M22-
-7695566474142240933,M,52,M39+
862922373737923419,M,28,M27-28
-5818615083099785490,M,38,M32-38
426981064053885736,M,18,M22-
-6842989389154627004,F,28,F27-28
-3922397777439075420,M,34,M32-38
6615764312457765138,M,26,M23-26
498226046913213220,F,29,F29-32
2233846193171486589,M,26,M23-26
-3101182049944653070,M,30,M29-31
5688129885804941308,M,32,M32-38
3267039647925995957,F,27,F27-28
1238843704066927944,F,35,F33-42
-8682262273372341868,M,36,M32-38
3255498971278488428,M,26,M23-26
3704781069704306221,M,38,M32-38
-3291454422793594022,M,24,M23-26
4781528910755808059,M,25,M23-26
-1539085637249148153,M,24,M23-26
-3638695158282962044,M,28,M27-28
-4557803296121562112,F,30,F29-32
-5061247980221630379,F,25,F24-26
-8652141662010464549,M,26,M23-26
-8820204820832823634,F,28,F27-28
7426483804043431179,F,29,F29-32
2100964790765307727,M,30,M29-31
-9174142387982011518,M,31,M29-31
4289650952961781290,F,29,F29-32
-7055067762792826387,F,21,F23-
531877927194359514,M,22,M22-
-8089003881526324361,F,30,F29-32
-7600609959092867877,M,32,M32-38
5622938794822181094,M,25,M23-26
-6171826292614469078,M,23,M23-26
7610155493996329569,M,33,M32-38
1287312174225968819,M,31,M29-31
-352027569165989574,F,25,F24-26
4791714623372653985,F,22,F23-
3195080133137460700,M,33,M32-38
-5609318139235789930,M,42,M39+
-7082440603157852615,F,29,F29-32
2295796968956423821,M,43,M39+
