label_id,category,label_itunes_id
1,,26
2,game-game type,8
3,game-Game themes,8
4,game-Art Style,8
5,game-Leisure time,8
6,game-Cutting things,8
7,game-Finding fault,8
8,game-stress reliever,8
9,game-pet,8
10,game-Answer,8
11,game-Fishing,8
12,game-Music and Dance,8
13,game-Puzzle,8
14,game-Adventure puzzle,8
15,game-Parkour Racing,8
16,game-Parkour,8
17,game-Racing,8
18,game-Motorcycle,8
19,game-Rowing,8
20,game-aircraft,8
21,game-Gem Elimination,8
22,game-Box,8
23,game-gem,8
24,game-Lianliankan,8
25,game-Zuma,8
26,game-Bobble,8
27,game-Cartoon,8
28,game-Online game,8
29,game-Role -playing games,8
30,game-Competitive action,8
31,game-Tactics,8
32,game-card,8
33,game-Business simulation,8
34,game-Action Shooting,8
35,game-Horizontal version,8
36,game-shooting,8
37,game-3D,8
38,game-flight,8
39,game-tank,8
40,game-Snipe,8
41,poker and chess,8
42,poker game_doudizhu,8
43,chess,8
44,majiang,8
45,table game,8
46,Texas Poker,8
47,poker,8
48,Children puzzle game,8
49,Puzzle,8
50,Literacy Games,8
51,Intellectual development game,8
52,math,8
53,Guard tower defense game,8
54,checkpoints game,8
55,Beach landing game,8
56,fighting game,8
57,old style game,8
58,basketball,8
59,football,8
60,tennis,8
61,billards,8
62,other ball game,8
63,RPG game,8
64,Turn based RPG game,8
65,realtime fighting,8
66,ARPG,8
67,business strategy game,8
68,war chess,8
69,business,2
70,farm,8
71,raising up game,8
72,pet raising up,8
73,love raising up,8
74,unknown,26
75,puzzel,8
76,gambling,8
77,3 kindom game,8
78,knight game,8
79,Cultivation fantasy game,1
80,Journey to the West game,1
81,Outlaws of the Marsh game,1
82,Chinese Classical Mythology,1
83,Western Mythology,1
84,80s Japanese comic,1
85,90s Japanese comic,1
86,movie,5
87,shows,5
88,millitary and wars,8
89,science fiction,8
90,zombies game,8
91,World of Warcraft,8
92,magic,8
93,dotal-lol,8
94,sailing game,8
95,sports,8
96,Chinese painting,10
97,japanese and korean style,11
98,japanese comic and animation,11
99,US and Europe animation,11
100,Cute style comic,11
101,pixel style comic,11
102,violence comic,11
103,US and Europe magic comic,11
104,realistic style comic,11
105,chinese comic,11
115,unknown,26
125,unknown,26
126,unknown,26
127,online shopping,19
128,online malls,19
129,"online shopping by group, like groupon",19
130,online shopping navigation,19
131,"online shopping, price comparing",19
132,shopping sharing,19
133,education,4
134,education for babies,4
135,education outside class,4
136,study abroad,4
137,foreign language,4
138,professional skills,4
139,management,4
140,art and culture,4
141,library,4
142,exams,4
143,dialects,4
144,class managemetn,4
145,reading,1
146,reading for fetus,1
147,children books,1
148,novels,1
149,magazine and journal,11
150,comics,11
151,dictionary,1
152,reading platform,4
153,poetry,1
154,joke,5
155,psychology,4
156,science,4
157,Information,4
158,news,15
159,Entertainment News,15
160,Academic Information,4
161,Sports News,15
162,Financial Information,6
163,Technology Information,1
164,gaming strategy,1
165,Socially,20
166,weibo,20
167,love and marriage,10
168,community,1
169,picture sharing,20
170,blogs,20
171,communitation,20
172,IM,10
173,mesasge,10
174,email,10
175,phone,10
176,movie,5
177,radio,5
178,music,13
179,video,5
180,show,5
181,Audiobooks,1
182,Business Travel,23
183,map,14
184,navigation,14
185,Behalf of the drive,10
186,Taxi,10
187,Car,10
188,flight,23
189,Bus,10
190,train,10
191,Hotel application,23
192,Travel advisory,23
193,tourism product,23
194,Share Travels,23
195,coach transport,23
196,Household,18
197,Decoration,18
198,Appliances,18
199,Furniture,18
200,household products,18
201,Smart Home,18
202,health,12
203,lose weight,9
204,sports and gym,9
205,health,9
206,Medical,12
207,Health Management,9
208,Living,9
209,pictures photography,16
210,Man playing favorites,5
211,takeaway ordering,10
212,Astrology Horoscope,5
213,coupon,19
214,Reviews,18
215,Recipes,7
216,Business Office,2
217,Weather,25
218,Clock,24
219,Express,24
220,Calendar,24
221,Accounting,24
222,Car Owners,4
223,convenience services,18
224,fashion outfit,18
225,Points Activities,8
226,Housekeeping,18
227,Integrated Living,18
228,work,2
229,Jobs,2
230,Scheduling,24
231,notes,24
232,notes,24
233,File Editor,24
234,business cards,24
235,Contacts,24
236,network disk,24
237,store management,2
238,Engineering Drawing,18
239,phone tools,24
240,System Tools,24
241,App Store,18
242,search,24
243,Input Method,24
244,Browser,24
245,Desktop Enhancements,24
246,readers,24
247,Utilities,24
248,,26
249,Editor,24
250,WIFI,24
251,Finance,6
252,Wealth Management,6
253,IMF,6
254,Direct Bank,6
255,Direct Insurance,6
256,Securities,6
257,futures,6
258,Exchange,6
259,Precious Metals,6
260,Crowdfunding financing,6
261,Lottery ticket,6
262,Pay,6
263,Debit and credit,6
264,,26
265,Estate,18
266,Housing Advice,18
267,Buy,18
268,Sellers,18
269,Rentals,18
270,Mother,18
271,Prepare pregnant pregnancy,18
272,Parenting,18
273,Maternal and child supplies,18
274,entertainment,5
275,KTV,5
276,show,5
277,the film,5
278,car,5
279,Automotive News,15
280,Sale of cars,18
281,A beauty care,18
282,Skin care applications,18
283,Beauty Nail,18
284,Make-up application,18
302,unknown,26
303,unknown,26
304,unknown,26
305,unknown,26
306,unknown,26
312,Consumer preferences,18
313,Consumer Goods,18
314,Consumer orientation,18
315,Brand Country,26
316,Occupational identity,2
317,College Students,4
318,unknown,26
319,unknown,26
320,unknown,26
326,Condition of the vehicles,18
327,Car,18
328,No Car,10
329,Jewelry Watches,19
330,branded watch,19
331,fashion brand,19
332,Switzerland,18
333,Dress shoes,19
334,Women,19
335,Shoes,19
336,Men's,19
337,Men's Shoes,19
338,France,18
339,Hong Kong,18
340,Japan,18
341,High-end brand,19
342,United States,18
343,Outdoor sport,19
344,Germany,19
345,underwear,18
346,Home Clothing,18
347,Volkswagen brand,18
348,Sweden,18
349,Accessories,18
350,Italy,18
351,Household utensils,19
352,bed linings,19
353,Kids,18
354,Sports Health,9
355,outdoor equipment,19
356,China Mainland,18
357,Bags,19
358,Lady bags,18
359,Taiwan,18
360,Baby Products,19
361,Baby Clothing,19
362,M package,19
363,wallet,19
364,Digital,19
365,camera,19
366,Culture and Education,19
367,Office Supplies,19
368,"Jewelry, jewelry",19
369,Swimming Supplies,19
370,Canada,18
371,Phone,19
372,Digital Accessories,19
373,computer,19
374,Luxury brand,19
375,cosmetic,19
376,Fragrance oils,19
377,Feature Pack,19
378,Suitcase,19
379,Makeup,19
380,Skin Care,19
381,FOOD,7
382,Fast food meals,7
383,Day feed,7
384,Home Decoration,19
385,United Kingdom,18
386,Collection process,18
387,Korea,18
388,Austria,18
389,Spain,18
390,Household appliances,19
391,home appliances,19
392,Bathroom products,19
393,Pregnant mother supplies,19
394,Shoes,19
395,Norway,18
396,Western Dinner,7
397,Kitchen Appliances,19
398,Australia,18
399,Leisure and entertainment,5
400,Children's entertainment,5
401,SPA,19
402,Water Coffee Bar,19
403,Domestic services,10
404,Nail Tattoos,10
405,Custom label,26
406,unknown,26
407,DS_P2P net loan,6
408,Location,14
409,Go places,14
410,High places,14
411,Four five-star hotel,23
412,Golf Club,23
413,ski facility,23
414,transportation hub,23
415,AIRPORT,23
416,Culture & Education,4
417,the University,4
418,High school,4
419,Tourist attractions,23
420,hospital,12
421,Portugal,18
422,Large household appliances,19
423,Baby food,19
424,Snacks Snacks,19
425,Retail stores,19
426,Tobacco row,19
427,Decoration materials,19
428,Fitness Equipment,19
429,Hotels,23
430,Singapore,18
431,Korean food,7
432,Lunch Dinner,7
433,Bread dessert,7
434,Thailand,28
435,Belgium,28
436,Shabu hot pot,7
437,buffet,7
438,groceries,19
439,Convenience Store,19
440,Pharmacy / medical devices / Health,19
441,Denmark,18
442,Greece,18
443,Furniture,19
444,Kitchenware,19
445,Collection shop,19
446,Baby Care,19
447,Netherlands,18
448,Stereo headphones,19
449,Baby bed,19
450,kids toys,19
451,Digital stores,19
452,Education and Training,4
453,Swim,4
454,wig,19
455,tableware,19
456,Latvia,19
457,Coffee water bar / teahouse,19
458,retail,19
459,Brazil,18
460,Malaysia,18
461,Baby Home Textiles,19
462,SPA / Health Center,19
463,Finland,18
464,Laundry / Leather Care / change clothes,19
465,Sports,19
466,cinema,5
467,Musical Instruments,19
468,Beauty salons,19
469,Supermarkets,19
470,Financial Planning Services,6
471,car services,19
472,Auto 4S shop,19
473,tea shop,19
474,Photographic prints,19
475,Cycling Sport,19
476,Wedding services,19
477,KTV service,19
478,Appliance stores,19
479,Philippines,18
480,Tea cups,19
481,Board games and entertainment,19
482,Games,19
483,Gym,9
484,Cleaning Products,19
485,Experience,18
486,Car decoration,19
487,Real Estate Property,19
488,Housing agency,19
489,Florist / Fruit Shop,19
490,Fishing Tackle,19
491,Electric Car,19
492,Personal Care,19
493,Swimming pool,19
494,Video City,19
495,Aftermarket decoration,19
496,Billiard room,19
497,Foot Bath,19
511,Wedding photography,19
512,Pet Services,19
513,Internet cafes,19
514,bank,6
515,Parental photography,16
516,pharmacy,19
517,Supermarket,19
